Name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Abrianna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-
Abygail,-,-,-,-,-,-,-,-,..,-,-,-,-,-,..,-,-,-,-,..
Acacia,-,-,-,-,-,..,..,-,-,..,-,..,-,-,..,..,-,..,-,-
Achazia,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-
Achiera,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Achsah,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-
Acia,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-
Acqulin,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-
Ada,-,-,-,-,..,-,-,..,..,-,-,-,..,..,-,..,3,..,4,16
Adabelle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-
Ada-Grace,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Adah,-,-,-,-,-,-,-,-,-,-,..,-,-,..,-,-,-,-,-,-
Adaiah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Adalyn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Adalyna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Adalynn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,..,-
Adalynne,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Adam,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-
Ada-marie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-
Adara,..,-,-,-,-,-,-,..,-,-,..,-,-,-,..,-,-,-,-,-
Ada-rose,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Adda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Addi,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-
Addia,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,..,-
Addie,-,-,-,-,-,-,-,-,-,-,-,..,-,-,..,-,-,..,..,-
Addilyn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Addison,-,-,-,-,-,-,-,-,-,..,..,..,5,5,4,-,3,..,3,8
Addison-Alexis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Addison-J,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-
Addison-lily,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-
