Name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Abhiram,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,..
Abhyudaya,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-
Abimbola,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-
Abiona,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-
Abir,-,-,-,-,-,-,-,-,..,-,-,-,-,-,..,-,-,-,-,-
Abraham,-,-,-,..,-,..,-,-,..,..,-,-,-,-,..,..,3,-,-,..
Abraheim,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-
Abram,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Abu,-,..,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,..
Abudllah,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Aby,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ace,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,..,..,..
Achaleke,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-
Acheron,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Adam,236,251,304,276,321,272,279,238,241,216,194,175,200,167,161,159,137,145,124,108
Adamas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Adam-Corbin,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-
Adamh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-
Adam-Jackson,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-
Adam-James,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-
Adamnan,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-
Adam-Wray,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-
Adan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Adarsh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-
Adas,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,..,4,..,..
Adbul,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Addam,-,-,..,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Addheen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-
Addi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..
Addis,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Addison,-,-,-,-,-,-,-,-,..,..,..,..,..,-,..,-,-,-,3,-
Adebobola,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-
Adedamola,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Adedipupo,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-
Adee,-,-,-,-,-,-,..,-,-,-,..,-,-,-,-,-,-,-,-,-
Adel,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-
Adem,-,-,-,-,..,-,-,-,-,-,-,-,-,-,..,..,-,..,-,..
Ademide,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-,-
Aden,-,-,-,-,-,-,-,-,-,-,-,-,..,..,3,-,3,..,-,-
Adesola,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-,-
Adetokunboh,-,-,-,-,-,-,-,-,..,-,-,-,-,-,-,-,-,-,-,-
Adewale,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,..,-,-,-
Adham,-,-,-,..,-,-,-,..,-,..,-,-,-,-,-,-,-,-,-,-
Adhamh,-,..,-,-,-,-,-,..,..,..,-,-,..,-,..,-,..,-,-,..
